,longest_idle_time,score,extra_data,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,pkg_name,active_time,distance,others_time,step_count,datauuid,create_time
841,28860000,178,e30667ee-f33b-43b6-a142-6d2d5541abfc.extra_data.json,60,454.80264000000005,18881,jQfnryI8/B,2018-10-12 22:22:32.769,789200,1539129600000,6435179,com.sec.android.app.shealth,6454060,7873.279,0,10337,e30667ee-f33b-43b6-a142-6d2d5541abfc,2018-10-10 04:26:57.543
842,28800000,0,e5555296-851f-4d82-af23-624dbff7ddb2.extra_data.json,-1,336.46994,20120,jQfnryI8/B,2017-02-11 05:01:06.274,780000,1486684800000,4803189,com.sec.android.app.shealth,4823309,6028.5215,0,7788,e5555296-851f-4d82-af23-624dbff7ddb2,2017-02-10 08:00:01.591
843,15060000,0,e5f9e78d-0717-4827-be3f-7a87963b801a.extra_data.json,-1,462.87003,24115,jQfnryI8/B,2017-06-29 02:10:38.290,780000,1498608000000,6382258,com.sec.android.app.shealth,6406373,8290.969000000001,0,10749,e5f9e78d-0717-4827-be3f-7a87963b801a,2017-06-28 04:01:06.950
844,11700000,0,e611c109-dea2-4d28-8e4b-24abbc6386d1.extra_data.json,-1,802.2518299999999,19669,jQfnryI8/B,2018-05-12 12:06:50.968,3899089,1525996800000,6430465,com.sec.android.app.shealth,10349223,7878.486,3899089,12080,e611c109-dea2-4d28-8e4b-24abbc6386d1,2018-05-11 04:02:32.080
845,24120000,0,e65d9435-1efb-45ad-bd45-89594e548a22.extra_data.json,-1,452.97742,13933,jQfnryI8/B,2018-08-14 21:13:15.920,966307,1534118400000,6612861,com.sec.android.app.shealth,6626794,7976.2783,0,10673,e65d9435-1efb-45ad-bd45-89594e548a22,2018-08-13 04:03:04.349
846,28740000,0,e6f7a248-ff59-436b-b2d9-4349e10b1626.extra_data.json,-1,346.91995,52179,jQfnryI8/B,2017-10-21 01:00:12.770,660000,1508457600000,4615194,com.sec.android.app.shealth,4667373,6147.871,0,7851,e6f7a248-ff59-436b-b2d9-4349e10b1626,2017-10-20 04:01:01.694
847,37020000,181,e701bc58-d76f-44b5-b8b8-d1f4f8d963d6.extra_data.json,60,472.9699,38717,jQfnryI8/B,2016-09-23 04:11:51.938,780000,1474502400000,6568686,com.sec.android.app.shealth,6607403,8483.261,0,10975,e701bc58-d76f-44b5-b8b8-d1f4f8d963d6,2016-09-22 07:00:56.567
848,44220000,60,e75989b6-6f42-48b6-9014-62df18477703.extra_data.json,60,148.25998,23200,jQfnryI8/B,2016-09-09 20:39:28.619,360000,1473379200000,2173940,com.sec.android.app.shealth,2197140,2746.8804,0,3475,e75989b6-6f42-48b6-9014-62df18477703,2016-09-09 07:00:01.367
849,35400000,45,e7fbccc0-526a-4b21-9683-3bd909944a9b.extra_data.json,60,115.41,16000,jQfnryI8/B,2016-10-09 06:09:31.346,60000,1475884800000,1636788,com.sec.android.app.shealth,1652788,2034.4402,0,2511,e7fbccc0-526a-4b21-9683-3bd909944a9b,2016-10-08 07:02:18.265
850,29580000,0,e84de143-bdc1-4d7e-a1b3-d3458f1a2ba6.extra_data.json,-1,409.16992,37083,jQfnryI8/B,2017-10-06 02:11:38.511,1320000,1507161600000,5472788,com.sec.android.app.shealth,5509871,7701.0986,0,9690,e84de143-bdc1-4d7e-a1b3-d3458f1a2ba6,2017-10-05 04:00:47.227
851,26700000,0,e85a07a5-68db-4cd6-a909-554b7276235c.extra_data.json,-1,11.36,0,jQfnryI8/B,2017-07-12 01:47:13.213,44022,1499731200000,180757,com.sec.android.app.shealth,180757,216.93002,0,271,e85a07a5-68db-4cd6-a909-554b7276235c,2017-07-11 04:00:00.514
852,24600000,0,e8a4d97f-0164-40c7-947c-439494bca46e.extra_data.json,-1,311.64938,24742,jQfnryI8/B,2018-07-08 01:10:34.212,848034,1530835200000,4493747,com.sec.android.app.shealth,4518489,5697.6934,0,7292,e8a4d97f-0164-40c7-947c-439494bca46e,2018-07-06 04:00:00.697
853,25620000,0,e937f92d-33dd-47be-a634-448e601574c1.extra_data.json,-1,397.76996,39198,jQfnryI8/B,2017-09-19 00:15:00.315,720000,1505692800000,5313461,com.sec.android.app.shealth,5352659,7119.0415,0,9038,e937f92d-33dd-47be-a634-448e601574c1,2017-09-18 04:01:00.566
854,41940000,0,e9b8605d-6c46-41da-8c53-298808b3badd.extra_data.json,-1,167.59999,162673,jQfnryI8/B,2017-06-19 02:55:00.729,60000,1497744000000,1758252,com.sec.android.app.shealth,1920925,2762.8606,0,3092,e9b8605d-6c46-41da-8c53-298808b3badd,2017-06-18 04:15:00.294
855,50580000,66,e9c4ac67-980b-43a3-b84c-8073e131085b.extra_data.json,60,167.34996,13600,jQfnryI8/B,2016-10-02 06:35:00.988,480000,1475280000000,2428794,com.sec.android.app.shealth,2442394,3028.3699,0,3836,e9c4ac67-980b-43a3-b84c-8073e131085b,2016-10-01 07:15:01.242
856,23820000,0,e9d78a5e-0e72-4e2f-acce-dc9a4911aaf8.extra_data.json,-1,82.44,6699,jQfnryI8/B,2017-09-25 01:15:01.796,180000,1506211200000,1229174,com.sec.android.app.shealth,1235873,1565.5299,0,1940,e9d78a5e-0e72-4e2f-acce-dc9a4911aaf8,2017-09-24 04:09:26.862
857,28440000,215,ea0b8511-a346-48f9-ae54-2e4b053f03bf.extra_data.json,60,610.5999,342543,jQfnryI8/B,2016-09-01 06:56:20.144,240000,1472601600000,7442557,com.sec.android.app.shealth,7785100,10539.788999999999,0,12411,ea0b8511-a346-48f9-ae54-2e4b053f03bf,2016-08-31 07:00:02.609
858,19620000,0,eab3fda5-f3bc-4b2a-85c5-4f7308124796.extra_data.json,-1,316.27997,33360,jQfnryI8/B,2017-07-07 23:55:01.447,720000,1499385600000,4254144,com.sec.android.app.shealth,4287504,5642.16,0,7260,eab3fda5-f3bc-4b2a-85c5-4f7308124796,2017-07-07 04:00:00.369
859,27960000,0,eac85784-586f-4d05-8a62-70aa51e21922.extra_data.json,-1,572.76,64967,jQfnryI8/B,2016-10-31 03:35:00.948,480000,1477785600000,8245957,com.sec.android.app.shealth,8310924,10412.507,0,13017,eac85784-586f-4d05-8a62-70aa51e21922,2016-10-30 07:00:01.718
860,39960000,0,eb18396f-de0d-4913-9648-894340d01c39.extra_data.json,-1,409.04996,68585,jQfnryI8/B,2017-05-20 01:19:59.493,300000,1495152000000,5805515,com.sec.android.app.shealth,5874100,7494.1997,0,9470,eb18396f-de0d-4913-9648-894340d01c39,2017-05-19 04:00:06.246
861,30540000,0,eb3980ac-0d7b-4995-bab9-2b6cf02bb422.extra_data.json,-1,721.7062400000001,1923944,jQfnryI8/B,2018-08-07 22:40:30.652,1911144,1533427200000,6067325,com.sec.android.app.shealth,7991269,11006.719,0,13426,eb3980ac-0d7b-4995-bab9-2b6cf02bb422,2018-08-05 04:00:00.977
862,25020000,0,eb66d8e1-13f8-40d8-a254-9cc5c267345a.extra_data.json,-1,708.7101,625520,jQfnryI8/B,2018-01-10 19:29:22.598,1800000,1515456000000,3776152,com.sec.android.app.shealth,6201672,6606.904,1800000,7528,eb66d8e1-13f8-40d8-a254-9cc5c267345a,2018-01-09 07:37:14.121
