,longest_idle_time,score,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,active_time,distance,others_time,step_count,create_time
449,29640000,0,-1,213.84,39535,jQfnryI8/B,2017-01-14 05:25:32.609,180000,1484265600000,2824609,2864144,3616.01,0,4461,2017-01-13 08:01:01.346
450,18000000,0,-1,650.648,17340,jQfnryI8/B,2018-01-08 15:15:27.960,4705438,1515283200000,3115940,7838718,3434.3308,4705438,7509,2018-01-07 05:00:00.594
451,42720000,0,-1,104.880005,28606,jQfnryI8/B,2017-06-26 22:16:38.599,180000,1498435200000,1384380,1412986,1924.14,0,2342,2017-06-26 04:15:01.050
452,20219999,0,-1,208.13997,33347,jQfnryI8/B,2017-03-19 05:41:37.247,300000,1489622400000,2992385,3025732,3805.46,0,4798,2017-03-16 04:15:01.259
453,23520000,0,-1,493.63998,64677,jQfnryI8/B,2018-06-11 11:03:00.754,1200000,1528416000000,4713517,5978194,5710.1294,1200000,7405,2018-06-08 04:00:01.468
454,39420000,101,60,242.88998,10800,jQfnryI8/B,2016-09-06 04:32:21.026,780000,1473033600000,3694520,3705320,4475.699000000001,0,5732,2016-09-05 07:01:00.490
455,23760000,130,60,386.04498,2515,jQfnryI8/B,2018-10-31 12:39:05.925,3372037,1540771200000,1338492,4713044,1477.8778,3372037,3283,2018-10-29 04:00:00.662
456,33840000,88,60,228.59998,10334,jQfnryI8/B,2016-10-07 03:28:26.157,540000,1475712000000,3231539,3241873,3988.9302,0,5180,2016-10-06 07:02:31.731
457,31320000,0,-1,445.94,18874,jQfnryI8/B,2017-02-20 02:44:02.496,1680000,1487462400000,6515066,6533940,8280.819,0,10790,2017-02-19 08:00:02.101
458,19500000,0,-1,592.74744,16000,jQfnryI8/B,2018-01-29 13:27:55.095,3065912,1517097600000,5012108,8094020,5583.334,3065912,9725,2018-01-28 05:00:00.507
459,19980000,128,60,513.96,3887,jQfnryI8/B,2018-10-27 18:16:06.646,2700000,1540425600000,1963225,4667112,2400.367,2700000,3203,2018-10-25 04:00:01.465
460,15720000,250,60,687.931,59249,jQfnryI8/B,2018-12-12 19:55:31.011,2926388,1544486400000,6064161,9049798,7051.675,2926388,11866,2018-12-11 05:00:00.542
461,27240000,0,-1,107.97997,7244,jQfnryI8/B,2017-06-09 03:25:46.812,180000,1496880000000,1529355,1536599,1942.5997,0,2445,2017-06-08 04:00:01.105
462,26520000,0,-1,255.63002000000003,12400,jQfnryI8/B,2016-12-14 05:46:09.881,660000,1481587200000,3835714,3848114,4678.7905,0,6017,2016-12-13 08:15:00.297
463,24600000,0,-1,312.63998,27634,jQfnryI8/B,2017-02-06 03:35:00.925,1380000,1486252800000,4536377,4564011,5676.5093,0,7215,2017-02-05 08:15:00.296
464,33600000,0,-1,742.5398,647580,jQfnryI8/B,2017-07-23 01:32:41.298,720000,1500681600000,7937802,8585382,12767.772,0,14683,2017-07-22 04:00:00.477
465,13500000,0,-1,420.02005,80070,jQfnryI8/B,2018-02-16 12:10:23.136,1800000,1518652800000,2263465,4143535,2511.5195,1800000,3663,2018-02-15 05:16:08.583
466,15240000,0,-1,639.7506,10492,jQfnryI8/B,2018-09-03 00:56:41.192,2964391,1535673600000,5587327,8562210,5959.6597,2964391,9768,2018-08-31 04:00:06.789
467,40200000,123,60,324.3001,26765,jQfnryI8/B,2016-08-06 05:29:54.467,720000,1470355200000,4483031,4509796,6018.1196,0,7571,2016-08-05 07:00:02.417
