,efficiency,quality,time_offset,deviceuuid,local_start_time,local_end_time
140,95.73033,,UTC-0400,F/D7+hL5E5,2018-10-01 22:25:00,2018-10-02 05:49:00
141,90.59139,,UTC-0400,F/D7+hL5E5,2018-05-24 00:27:00,2018-05-24 06:38:00
142,89.952156,,UTC-0500,F/D7+hL5E5,2018-02-19 21:12:00,2018-02-20 00:40:00
143,92.11469,,UTC-0400,F/D7+hL5E5,2018-10-31 22:32:00,2018-11-01 03:10:00
144,88.50574499999998,,UTC-0400,F/D7+hL5E5,2018-07-21 22:10:00,2018-07-22 06:51:00
145,89.78705793402777,,UTC-0500,F/D7+hL5E5,2018-12-09 22:34:00,2018-12-10 08:10:00
146,90.712746,,UTC-0400,F/D7+hL5E5,2018-08-12 22:48:00,2018-08-13 06:30:00
147,91.78082,,UTC-0400,F/D7+hL5E5,2018-05-09 01:00:00,2018-05-09 07:05:00
149,91.6,,UTC-0400,F/D7+hL5E5,2018-07-16 22:16:00,2018-07-17 06:35:00
150,91.013824,,UTC-0400,F/D7+hL5E5,2018-07-15 23:18:00,2018-07-16 06:32:00
152,90.58403065656566,,UTC-0400,F/D7+hL5E5,2018-04-29 19:40:00,2018-04-30 05:34:00
155,93.333336,,UTC-0400,F/D7+hL5E5,2018-05-22 21:38:00,2018-05-23 05:23:00
156,88.43813,,UTC-0400,F/D7+hL5E5,2018-08-01 22:19:00,2018-08-02 06:32:00
157,88.69701806722689,,UTC-0400,F/D7+hL5E5,2018-05-03 22:12:00,2018-05-04 06:08:00
158,90.120964,,UTC-0800,F/D7+hL5E5,2017-12-29 01:03:00,2017-12-29 09:18:00
159,87.56848108910891,,UTC-0500,F/D7+hL5E5,2018-01-13 22:25:00,2018-01-14 06:50:00
160,89.26829000000002,,UTC-0400,F/D7+hL5E5,2018-09-16 22:45:00,2018-09-17 05:35:00
161,93.70786,,UTC-0500,F/D7+hL5E5,2018-01-16 22:23:00,2018-01-17 05:47:00
163,92.20779,,UTC-0500,F/D7+hL5E5,2018-11-24 07:32:00,2018-11-24 08:48:00
164,90.55118,,UTC-0400,F/D7+hL5E5,2018-08-05 22:49:00,2018-08-06 07:17:00
166,92.244896,,UTC-0400,F/D7+hL5E5,2018-05-06 21:43:00,2018-05-07 05:53:00
167,88.52814000000002,,UTC-0400,F/D7+hL5E5,2018-07-03 22:56:00,2018-07-04 06:37:00
169,87.87129,,UTC-0400,F/D7+hL5E5,2018-09-03 23:40:00,2018-09-04 06:23:00
171,87.96296,,UTC-0400,F/D7+hL5E5,2018-09-12 00:42:00,2018-09-12 06:05:00
173,89.58333,,UTC-0400,F/D7+hL5E5,2018-08-10 23:48:00,2018-08-11 06:12:00
174,95.13184,,UTC-0400,F/D7+hL5E5,2018-03-12 21:39:00,2018-03-13 05:51:00
176,90.022675,,UTC-0500,F/D7+hL5E5,2018-12-30 00:58:00,2018-12-30 08:18:00
177,82.64991711453744,,UTC-0400,F/D7+hL5E5,2018-08-08 23:15:00,2018-08-09 06:49:00
179,86.65377,,UTC-0400,F/D7+hL5E5,2018-09-01 22:05:00,2018-09-02 06:42:00
180,95.47511,50003.0,UTC-0500,F/D7+hL5E5,2018-01-08 23:17:00,2018-01-09 06:38:00
181,92.028984,,UTC-0400,F/D7+hL5E5,2018-10-12 22:22:00,2018-10-13 07:45:00
183,93.19728,,UTC-0400,F/D7+hL5E5,2018-10-05 22:09:00,2018-10-06 07:57:00
