,date,total_sleep_duration_hr,mean_sleep_efficiency,mean_sleep_quality,total_step_count,total_step_distance,total_step_calorie,mean_step_speed,mean_heart_rate,max_heart_rate,min_heart_rate,mean_exercises_heart_rate,mean_cadence,mean_exercises_speed,max_altitude,max_exercises_heart_rate,max_cadence,max_exercises_speed,min_altitude,min_exercises_heart_rate,altitude_loss,total_exercises_rep_count,altitude_gain,total_exercises_duration,incline_distance,decline_distance,total_exercises_calorie,total_exercises_distance
133,2018-05-07,8.166666666666666,92.244896,,,,,,,,,0.0,0.0,1.7064117,,0.0,0.0,3.3611112000000003,,0.0,0.0,0.0,0.0,29.813516666666665,0.0,0.0,176.75,2869.214
134,2018-05-08,4.333333333333333,44.93670499999999,50001.0,,,,,,,,,,,,,,,,,,,,,,,,
135,2018-05-09,7.699999999999999,87.72714500000001,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
136,2018-05-10,7.966666666666667,92.484344,,,,,,,,,,,,,,,,,,,,,,,,,
137,2018-05-11,6.016666666666667,97.22992,,,,,,81.83333333333333,86.0,0.0,137.0,0.0,0.0,,200.0,0.0,,,88.0,0.0,0.0,0.0,64.98481666666666,0.0,0.0,345.666,0.0
138,2018-05-12,7.95,93.305435,,,,,,,,,,,,,,,,,,,,,,,,,
139,2018-05-13,5.85,94.318184,,,,,,,,,,,,,,,,,,,,,,,,,
140,2018-05-14,7.716666666666667,91.9056975,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
141,2018-05-15,6.966666666666667,94.03803066985645,,,,,,,,,134.0,0.0,0.0,,168.0,0.0,,,100.0,0.0,0.0,0.0,50.07086666666667,0.0,0.0,266.187,0.0
142,2018-05-16,7.416666666666667,95.06726,,,,,,,,,,,,,,,,,,,,,,,,,
143,2018-05-17,7.05,91.72577,,,,,,,,,153.0,135.27759,1.29237115,69.291,179.0,201.329,4.4,41.455,92.0,0.0,0.0,0.0,49.74671666666667,297.308,301.618,506.6690000000001,4609.743
144,2018-05-18,7.283333333333333,91.075516,,,,,,,,,131.0,0.0,0.0,,193.0,0.0,,,76.0,0.0,0.0,0.0,49.127633333333335,0.0,0.0,261.348,0.0
145,2018-05-19,8.333333333333334,90.84912615,,,,,,,,,,,,,,,,,,,,,,,,,
146,2018-05-20,6.533333333333333,90.8397,,,,,,,,,,,,,,,,,,,,,,,,,
147,2018-05-21,6.716666666666667,92.821785,,,,,,,,,,,,,,,,,,,,,,,,,
148,2018-05-22,5.416666666666667,96.01227,,,,,,66.55263157894737,89.0,0.0,132.0,0.0,0.0,,188.0,0.0,,,69.0,0.0,0.0,0.0,74.08996666666667,0.0,0.0,394.11800000000005,0.0
